"STATION","NAME","DATE","WT01","WT02","WT03","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-10","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-11","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-13","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-14",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-15",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-16",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-17",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-18",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-21","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-22","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-23",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-24",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-25","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-26","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-27","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-28","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-29","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-30","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-31",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-01","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-02","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-03","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-04","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-05",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-06",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-08",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-09",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-10",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-12","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-13",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-14",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-15",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-16","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-17","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-18","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-21","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-22","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-23",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-24","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-25","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-26","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-27",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-28",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-29",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-08-31",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-01",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-03",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-04",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-05",,,,
